,id,title,overview,release_date,popularity,genres,average_vote,runtime,poster_path
42,360920,The Grinch,The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.,2018-11-08,263.982,"Animation, Family, Comedy, Fantasy",6.8,85,/1Bc9VNd9CIHIyJtPKFqSQzrXWru.jpg
43,660521,The Mercenary,"When a mission in South America goes wrong a mercenary is left for dead, but he is nursed back to health and reborn with a new outlook on life. But his peaceful days are short-lived when mercenaries he used to work with cross his path again and he is forced to revisit and face his own demons.",2020-01-07,230.956,Action,6.25,91,/p3wgefagejlefFEDsLRHiXU7NGu.jpg
44,762430,Retribution,"When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks- all with his kids trapped in the back seat.",2023-08-23,230.635,"Action, Thriller, Crime",6.994,91,/oUmmY7QWWn7OhKlcPOnirHJpP1F.jpg
45,936059,The Naughty Nine,"Fifth-grader Andy finds himself without a present from Santa on Christmas morning. Realizing he must have landed on the “naughty list” and feeling unfairly maligned, Andy pulls together a team of eight other naughty-listers to help him execute an elaborate heist on Santa’s Village at the North Pole to get the presents they feel they deserve.",2023-11-22,320.368,"Family, Adventure, Comedy, TV Movie",6.104,83,/e0lSKnfAB0p2FJ5roEwjAyy0EA0.jpg
46,854648,Robot Apocalypse,"An expert hacker is targeted by a sentient AI after she realizes the threat it poses, and she must try to stay off its radar long enough to stop it.",2021-07-26,319.739,"Science Fiction, Action",2.1,87,/hULzHYoJRyLmQgMXHh2AwFM83uY.jpg
47,820525,After Everything,"Besieged by writer’s block and the crushing breakup with Tessa, Hardin travels to Portugal in search of a woman he wronged in the past – and to find himself. Hoping to win back Tessa, he realizes he needs to change his ways before he can make the ultimate commitment.",2023-09-13,202.292,"Romance, Drama",7.0,93,/uQxjZGU6rxSPSMeAJPJQlmfV3ys.jpg
48,361743,Top Gun: Maverick,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",2022-05-24,233.234,"Action, Drama",8.246,131,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg
49,459003,Mavka: The Forest Song,"Forest soul Mavka faces an impossible choice between her heart and her duty as guardian to the Heart of the Forest, when she falls in love with the talented young human musician Lukas.",2023-03-02,254.486,"Animation, Adventure, Family, Fantasy",7.3,99,/eeJjd9JU2Mdj9d7nWRFLWlrcExi.jpg
50,554600,Uri: The Surgical Strike,"Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.",2019-01-11,217.869,"Action, Drama, War",7.2,138,/yNySAgpAnWmPpYinim9E0tUzJWG.jpg
51,9381,Babylon A.D.,A veteran-turned-mercenary is hired to take a young woman with a secret from post-apocalyptic Eastern Europe to New York City.,2008-08-20,201.58,"Action, Adventure, Science Fiction, Thriller",5.607,101,/kt9nqD0uOar8IVE9191HXhWOXKI.jpg
52,131631,The Hunger Games: Mockingjay - Part 1,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,2014-11-19,222.209,"Science Fiction, Adventure, Thriller",6.8,123,/4FAA18ZIja70d1Tu5hr5cj2q1sB.jpg
53,1008042,Talk to Me,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",2023-07-26,220.572,"Horror, Thriller",7.196,95,/kdPMUMJzyYAc4roD52qavX0nLIC.jpg
54,897066,Big Tit Monastery,,1995-01-05,235.595,,6.0,60,/jNQVmgj1ykpKzD8EMVQ3lBA0qbq.jpg
55,939335,Muzzle,"LAPD K-9 officer Jake Rosser has just witnessed the shocking murder of his dedicated partner by a mysterious assailant. As he investigates the shooter’s identity, he uncovers a vast conspiracy that has a chokehold on the city in this thrilling journey through the tangled streets of Los Angeles and the corrupt bureaucracy of the LAPD.",2023-09-29,213.858,"Action, Crime, Drama, Thriller",6.636,100,/qXChf7MFL36BgoLkiB3BzXiwW82.jpg
56,1056803,Rascal Does Not Dream of a Sister Venturing Out,"After a draining December, Sakuta is quickly nearing the end of his second year of high school. Since Mai is a third-year student, they don't have much time left together before graduation rolls around. Meanwhile, his sister, Kaede, is slowly but steadily venturing outdoors again. Just as she begins to find her footing, she announces her most ambitious goal yet—attending her brother's high school! Sakuta knows better than anyone how difficult this will be for Kaede, and he's ready to support her however he can. He's just not sure if that's what's best for her...or what she really wants...",2023-06-23,235.003,"Animation, Drama",8.8,74,/o3Yc0plKnzpck0SM3rQLjWBHel8.jpg
57,811634,The Monkey King: Reborn,"When the irritable monkey king visits a temple together with his master Tang Monk, he feels offended because of a trifle and thereupon accidentally destroys a magic tree growing on the sacred ground. This brings an ancient demon king back to life, who promptly kidnaps Tang Monk to take revenge for his long imprisonment. The monkey king and his followers have only three days to not only save their master but also to prevent the demon king from regaining his full powers and destroying the world…",2021-04-02,205.523,"Animation, Action, Fantasy, Family",7.2,95,/67YXOoKGODyGvJXfXzVmgHNXYh8.jpg
58,671,Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",2001-11-16,193.365,"Adventure, Fantasy",7.9,152,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg
59,436270,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",2022-10-19,176.175,"Action, Adventure, Science Fiction",6.995,124,/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg
60,781732,Animal,"A son undergoes a remarkable transformation as the bond with his father begins to fracture, and he becomes consumed by a quest for vengeance.",2023-12-01,224.03,"Action, Crime, Drama",7.094,201,/hr9rjR3J0xBBKmlJ4n3gHId9ccx.jpg
61,545742,One Piece: Episode of Skypiea,"One day, a giant ship falls onto the Straw Hats from the sky. After a narrow escape, and while they are still in shock, a map to the “Sky Island” is carried to them by the wind. While researching for the way there, they meet another pirate and learn that he is a descendant of an infamous Sky Island explorer who was even depicted in a picture book “Noland The Liar” four centuries ago. However, Noland was possibly not a liar after all and might actually have gone to the Sky Island.",2018-08-25,167.564,"Animation, Action, Adventure, Comedy",6.9,104,/rlXwxRqZa0dMssgYLQeoNo4WiXg.jpg
62,118249,Thriller Night,"A Shrek parody of Michael Jackson's Thriller song and music video, with Donkey singing.",2011-09-13,173.531,Animation,6.89,6,/mPQei2YUIY0Ljd3O5Wy7LDuvC8S.jpg
63,581726,Infinite,"Evan McCauley has skills he never learned and memories of places he has never visited. Self-medicated and on the brink of a mental breakdown, a secret group that call themselves “Infinites” come to his rescue, revealing that his memories are real.",2021-09-09,251.013,"Science Fiction, Action, Thriller",6.607,106,/niw2AKHz6XmwiRMLWaoyAOAti0G.jpg
