,id,title,overview,release_date,popularity,genres,average_vote,runtime,poster_path
57,823464,Godzilla x Kong: The New Empire,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",2024-04-10,190.51,"Action, Science Fiction, Adventure",0.0,0,https://image.tmdb.org/t/p/w500/bQ2ywkchIiaKLSEaMrcT6e29f91.jpg
58,652810,The Mongolian Connection,"Working undercover on a human trafficking bust, maverick FBI agent Wade Dalton, captures Serick Ibrayev, a mysterious operative from the Mongolian underworld. With time running out, Wade must escort Serik back to Mongolia, and team up with hard-boiled police detective Ganzorig, to deliver Serik to court to testify against a crime Syndicate that will do anything to stop them.",2019-06-12,189.69,Action,6.5,98,https://image.tmdb.org/t/p/w500/mjh2xNeW3gFeRD0npNtZqIuAPw4.jpg
59,436270,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",2022-10-19,188.86,"Action, Adventure, Science Fiction",7.0,124,https://image.tmdb.org/t/p/w500/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg
60,1058694,Radical,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries a radical new method to break through his students’ apathy and unlock their curiosity, their potential… and maybe even their genius.",2023-10-19,184.12,Drama,7.6,127,https://image.tmdb.org/t/p/w500/eSatbygYZp8ooprBHZdb6GFZxGB.jpg
61,1071215,Thanksgiving,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the holiday. Picking off residents one by one, what begins as random revenge killings are soon revealed to be part of a larger, sinister holiday plan.",2023-11-16,183.56,"Horror, Thriller, Mystery",6.3,106,https://image.tmdb.org/t/p/w500/f5f3TEVst1nHHyqgn7Z3tlwnBIH.jpg
62,786415,Iké Boys,Two Japan-obsessed teenagers in Oklahoma must discover their inner hero when a magical anime transforms them into its super-powered characters.,2022-10-11,183.37,"Fantasy, Adventure",5.5,88,https://image.tmdb.org/t/p/w500/wzAZnkTQZBGCxZTvZk5g5VzgKuR.jpg
63,781732,Animal,"A son undergoes a remarkable transformation as the bond with his father begins to fracture, and he becomes consumed by a quest for vengeance.",2023-12-01,182.39,"Action, Crime, Drama",7.09,201,https://image.tmdb.org/t/p/w500/hr9rjR3J0xBBKmlJ4n3gHId9ccx.jpg
64,545742,One Piece: Episode of Skypiea,"One day, a giant ship falls onto the Straw Hats from the sky. After a narrow escape, and while they are still in shock, a map to the “Sky Island” is carried to them by the wind. While researching for the way there, they meet another pirate and learn that he is a descendant of an infamous Sky Island explorer who was even depicted in a picture book “Noland The Liar” four centuries ago. However, Noland was possibly not a liar after all and might actually have gone to the Sky Island.",2018-08-25,181.63,"Animation, Action, Adventure, Comedy",6.88,104,https://image.tmdb.org/t/p/w500/rlXwxRqZa0dMssgYLQeoNo4WiXg.jpg
65,581726,Infinite,"Evan McCauley has skills he never learned and memories of places he has never visited. Self-medicated and on the brink of a mental breakdown, a secret group that call themselves “Infinites” come to his rescue, revealing that his memories are real.",2021-09-09,179.3,"Science Fiction, Action, Thriller",6.6,106,https://image.tmdb.org/t/p/w500/niw2AKHz6XmwiRMLWaoyAOAti0G.jpg
66,251387,The Night Crew,"A group of hard up bounty hunters must survive the night in a desert motel against a horde of savage cartel killers. They soon realize that their fugitive, a mysterious Chinese woman, is much more than she lets on.",2015-03-17,156.91,"Thriller, Action, Mystery",5.09,89,https://image.tmdb.org/t/p/w500/kga0tqGli4DTcPXnngjRd1JpXye.jpg
67,447277,The Little Mermaid,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",2023-05-18,176.01,"Adventure, Family, Fantasy, Romance",6.48,135,https://image.tmdb.org/t/p/w500/ym1dxyOk4jFcSl4Q2zmRrA5BEEN.jpg
68,1076364,Carl's Date,"Carl Fredricksen reluctantly agrees to go on a date with a lady friend—but admittedly has no idea how dating works these days. Ever the helpful friend, Dug steps in to calm Carl's pre-date jitters and offer some tried-and-true tips for making friends—if you're a dog.",2023-06-15,168.2,"Animation, Adventure, Family",7.61,9,https://image.tmdb.org/t/p/w500/wakoF2UgsEE3fGs5KpuwMWsaNr2.jpg
69,629227,Let Us In,A 12 year old girl is determined to uncover who or what is behind the rash of disappearances occurring in her small town.,2021-07-02,131.07,"Science Fiction, Thriller, Horror",5.5,84,https://image.tmdb.org/t/p/w500/caZSuBX9UjN3nAc1f67isPjysB7.jpg
70,76341,Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",2015-05-13,138.87,"Action, Adventure, Science Fiction",7.58,121,https://image.tmdb.org/t/p/w500/hA2ple9q4qnwxp3hKVNhroipsir.jpg
71,981316,The Elevator,"Lily, an undercover reporter, poses as the new night manager at a seedy hotel to investigate a string of suspicious suicides. After playing the elevator game, she learns of a dark and sinister presence in the hotel. Can she find a conclusion to this mystery and put a stop to it before more murders occur?",2023-04-23,134.05,Horror,5.7,86,https://image.tmdb.org/t/p/w500/xLJAxltTY2r5oSdPZS26pUUpzwS.jpg
72,278,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",1994-09-23,114.48,"Drama, Crime",8.71,142,https://image.tmdb.org/t/p/w500/q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg
